Thời gian xảy ra tai nạn,Ngày xảy ra tai nạn,Quận/Huyện,Phường/Xã,Loại đường,Số người chết,Số người bị thương,Số người thương nặng,Số người thương nhẹ,Nhóm PT1,Phương tiện 1,Nhóm PT2,Phương tiện 2,Thiệt hại ước tính (triệu đồng),Phân loại tai nạn,Tình trạng thời tiết,Hình thức va chạm,Dạng đường,Loại mặt đường,Độ rộng đường,Tình trạng mặt đường,Tổ chức giao thông,Vòng xuyến,Nguyên nhân và Lỗi vi phạm
0:10:00,12/4/2021,Bình Chánh,Vĩnh Lộc B,Đường huyện,0,1,0,1,"Mô tô, xe máy",Hai bánh,"Mô tô, xe máy",Hai bánh,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
21:15:00,11/4/2021,Bình Chánh,Vĩnh Lộc B,Đường huyện,0,2,0,2,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Ngập nước,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
21:00:00,11/4/2021,Thủ Đức,Bình Chiểu,Đường huyện,0,1,0,1,"Mô tô, xe máy",Mô tô,"Rơ mooc, Sơ mi rơ mooc",Sơ mi rơ moóc,2,Va chạm giao thông,Đêm tối,Xe với xe,,,,,,Không,['Không chú ý quan sát']
19:20:00,11/4/2021,Bình Tân,Tân Tạo,Quốc lộ,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,,Không,['Không chú ý quan sát']
17:30:00,11/4/2021,Thủ Đức,Trường Thọ,Đường huyện,0,0,0,0,Ô tô con,Ô tô con,,,40,Ít nghiêm trọng,Râm,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường một chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
11:50:00,11/4/2021,Tân Bình,12,Đường tỉnh - Nội thị,0,2,1,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Nắng,Người với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Sử dụng bia rượu quá nồng độ quy định', 'Đi không đúng phần đường', 'Qua đường không đúng quy định', 'Sử dụng bia rượu']"
10:15:00,11/4/2021,Bình Chánh,An Phú Tây,Khác,0,0,0,0,Ô tô con,Ô tô con,PT đường bộ khác,"Ôtô kéo, chở xe",58,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Chuyển hướng không đúng quy định']
9:20:00,11/4/2021,Thủ Đức,Linh Tây,Đường tỉnh,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô chở hàng (Ô tô tải),41,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
23:30:00,10/4/2021,Củ Chi,Phước Vĩnh An,Đường tỉnh,0,1,0,1,Ô tô tải,Tải thùng kín,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,"['Chuyển hướng không đúng quy định', 'Không có giấy phép lái xe hoặc giấy phép lái xe không hợp lệ', 'Sử dụng bia rượu']"
21:00:00,10/4/2021,Nhà Bè,Nhơn Đức,Đường huyện - Nội thị,1,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,5,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
19:30:00,10/4/2021,Tân Phú,Sơn Kỳ,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Mô tô,"Mô tô, xe máy",Mô tô,2,Va chạm giao thông,Đêm tối,Xe với xe,,,,,,Không,['Không chú ý quan sát']
9:30:00,10/4/2021,Thủ Đức,Linh Trung,Đường huyện,0,0,0,0,Ô tô tải,Ô tô tải,,,10,Ít nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
9:25:00,10/4/2021,12,An Phú Đông,Quốc lộ,0,1,0,1,Ô tô chuyên dụng,Trộn bê tông,Ô tô tải,Tải có mui,0,Ít nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
8:00:00,10/4/2021,9,Tăng Nhơn Phú A,Đường huyện,1,0,0,0,Ô tô khách,Ô tô Buýt,"Mô tô, xe máy",Mô tô,3,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
6:45:00,10/4/2021,Bình Tân,Bình Hưng Hòa B,Quốc lộ,0,0,0,0,Ô tô khách,Ô tô khách,Ô tô tải,Ô tô tải,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
4:45:00,10/4/2021,11,15,Đường huyện,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô chở hàng (Ô tô tải),4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,,Không,"['Không chú ý quan sát', 'Chuyển hướng không đúng quy định']"
2:00:00,10/4/2021,1,Bến Nghé,Đường huyện,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,20,Nghiêm trọng,Đêm tối,Xe với xe,,,,,,Không,['Không chú ý quan sát']
1:30:00,10/4/2021,1,Tân Định,Đường tỉnh,0,1,0,1,"Mô tô, xe máy",Mô tô,PT đường bộ khác,,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
1:00:00,10/4/2021,Tân Bình,15,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,,,4,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
20:50:00,9/4/2021,9,Long Thạnh Mỹ,Đường huyện,0,1,1,0,"Mô tô, xe máy",Mô tô,,,1,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,,,,,Không,['Chuyển hướng không đúng quy định']
20:10:00,9/4/2021,Bình Chánh,Bình Hưng,Đường tỉnh,1,0,0,0,Ô tô tải,Ô tô tải,"Mô tô, xe máy",Mô tô,0,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
19:30:00,9/4/2021,12,Thạnh Xuân,Quốc lộ,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô tải,80,Ít nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
17:48:00,9/4/2021,12,Tân Chánh Hiệp,Khác,0,1,0,1,Ô tô con,Ô tô con pickup,,,4,Va chạm giao thông,Nắng,Người với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
17:00:00,9/4/2021,1,Nguyễn Thái Bình,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,7,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng - Hầm,Bê tông xi măng,"Từ 13,0m đến 19,5m",Khô,Đường một chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
12:40:00,9/4/2021,Củ Chi,Tân Thạnh Tây,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô chở hàng (Ô tô tải),2,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Không chấp hành quy định nhường đường tại nơi giao nhau', 'Không chấp hành báo hiệu đường bộ']"
7:00:00,9/4/2021,1,Nguyễn Cư Trinh,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh,"Mô tô, xe máy",Hai bánh,1,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,"['Chuyển hướng không đúng quy định', 'Không có giấy phép lái xe hoặc giấy phép lái xe không hợp lệ']"
4:47:00,9/4/2021,Bình Chánh,Bình Chánh,Đường huyện,0,1,1,0,Ô tô tải,Ô tô tải,Ô tô khách,Ô tô Khách từ 17 đến 29 chỗ,45,Ít nghiêm trọng,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
22:50:00,8/4/2021,Bình Chánh,Vĩnh Lộc A,Đường huyện,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,PT đường bộ khác,Nâng hàng,4,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường đôi - Giải phân cách ở giữa,Không,['Chuyển hướng không đúng quy định']
21:00:00,8/4/2021,Nhà Bè,Long Thới,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Mô tô,Ô tô tải,Ô tô tải,2,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
20:50:00,8/4/2021,Bình Chánh,Hưng Long,Đường huyện - Nông thôn,0,1,0,1,"Mô tô, xe máy",Hai bánh,"Mô tô, xe máy",Hai bánh,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
18:50:00,8/4/2021,2,An Phú,Đường huyện,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Đầu kéo,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường một chiều,Không,"['Lỗi và nguyên nhân khác', 'Chuyển hướng không đúng quy định']"
14:55:00,8/4/2021,7,Tân Phú,Quốc lộ - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô chở hàng (Ô tô tải),0,Ít nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
13:20:00,8/4/2021,9,Tăng Nhơn Phú B,Đường huyện - Nội thị,1,0,0,0,Ô tô con,Ô tô con,"Mô tô, xe máy",Hai bánh,0,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường đôi - Giải phân cách ở giữa,Không,['Chuyển hướng không đúng quy định']
5:30:00,8/4/2021,Bình Thạnh,25,Đường tỉnh - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Râm,Người với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
5:00:00,8/4/2021,Bình Thạnh,25,Khác,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0.5,Va chạm giao thông,Râm,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Vạch dọc liền ở giữa,Không,"['Mệt mỏi, ngủ gật']"
17:30:00,7/4/2021,Củ Chi,Tân Phú Trung,Quốc lộ,0,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
13:30:00,7/4/2021,3,11,Đường huyện,1,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Nghiêm trọng,Nắng,Xe với xe,,,,,,Không,['Không chú ý quan sát']
13:00:00,7/4/2021,Thủ Đức,Linh Trung,Đường tỉnh - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô tải,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Chuyển hướng không đúng quy định']
5:18:00,7/4/2021,Tân Bình,12,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,,,4,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
22:05:00,6/4/2021,5,10,Đường huyện,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Rơ mooc, Sơ mi rơ mooc",Sơ mi rơ moóc,5,Nghiêm trọng,Đêm tối,Xe với xe,,Bê tông nhựa,,,,Có,['Không chú ý quan sát']
19:23:00,6/4/2021,2,Cát Lái,Đường huyện,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Đầu kéo,66,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",,,Có,['Vượt xe không đúng quy định']
12:50:00,6/4/2021,12,An Phú Đông,Quốc lộ,0,0,0,0,Ô tô tải,Ô tô tải,,,5.07,Ít nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
9:00:00,6/4/2021,Nhà Bè,Nhà Bè,Đường huyện - Nội thị,0,1,0,1,Xe thô sơ,Xe đạp,"Mô tô, xe máy",Hai bánh từ 50-175cm3,1,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Vạch dọc liền ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
4:30:00,6/4/2021,Thủ Đức,Linh Trung,Quốc lộ,0,0,0,0,Ô tô tải,Ô tô tải,,,0,Ít nghiêm trọng,Râm,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
20:15:00,5/4/2021,Thủ Đức,Linh Trung,Đường huyện,0,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Rơ mooc, Sơ mi rơ mooc",Sơ mi rơ moóc,3,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Nhỏ hơn 3,5m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
19:15:00,5/4/2021,Nhà Bè,Phước Lộc,Đường huyện - Nông thôn,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Đêm tối,Người với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Qua đường không đúng quy định']
9:00:00,5/4/2021,Bình Chánh,Lê Minh Xuân,Đường tỉnh - Nông thôn,1,0,0,0,Ô tô tải,Ô tô tải,"Mô tô, xe máy",Mô tô,0,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
2:30:00,5/4/2021,Tân Bình,2,Đường tỉnh - Nội thị,0,2,2,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Đêm tối,Người với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Không chú ý quan sát', 'Qua đường không đúng quy định']"
23:00:00,4/4/2021,12,Thới An,Khác,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Tải có khung mui,4,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
22:45:00,4/4/2021,Bình Thạnh,3,Đường huyện - Nội thị,0,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
22:26:00,4/4/2021,Bình Chánh,Vĩnh Lộc A,Đường xã - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Tải đông lạnh,23,Ít nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,,Khô,Đường đôi - Giải phân cách ở giữa,Không,['Lỗi và nguyên nhân khác']
21:50:00,4/4/2021,12,Trung Mỹ Tây,Đường huyện - Nông thôn,0,4,0,4,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
19:35:00,4/4/2021,Bình Chánh,Tân Kiên,Quốc lộ,0,2,0,2,"Mô tô, xe máy",Mô tô,"Mô tô, xe máy",Mô tô,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Không chấp hành báo hiệu đường bộ', 'Không chấp hành quy định về tốc độ']"
15:50:00,4/4/2021,Cần Giờ,Bình Khánh,Đường xã - Nông thôn,1,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,3,Nghiêm trọng,Râm,Phương tiện tự gây tai nạn,Cong cua,Bê tông xi măng,"Từ 3,5m đến 5,5m",Khô,Đường hai chiều,Không,['Không có giấy phép lái xe hoặc giấy phép lái xe không hợp lệ']
14:00:00,4/4/2021,Hóc Môn,Tân Xuân,Đường tỉnh,1,0,0,0,Ô tô con,Ô tô con,"Mô tô, xe máy",Hai bánh từ 50-175cm3,2,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
13:50:00,4/4/2021,12,Tân Thới Nhất,Khác,0,1,0,1,Ô tô tải,Ô tô chở hàng c.dùng,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 3,5m đến 5,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
11:30:00,4/4/2021,Bình Tân,Bình Trị Đông B,Đường huyện,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô con,Ô tô con,0,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Chuyển hướng không đúng quy định']
2:00:00,4/4/2021,Củ Chi,Bình Mỹ,Đường tỉnh,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Rơ mooc, Sơ mi rơ mooc",Rơ moóc chở container,0,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
2:00:00,4/4/2021,Thủ Đức,Tam Bình,Quốc lộ,0,0,0,0,"Rơ mooc, Sơ mi rơ mooc",Rơ moóc tải,,,7.5,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
0:15:00,4/4/2021,11,6,Đường huyện,0,0,0,0,Ô tô con,Ô tô con,,,15,Ít nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
19:40:00,3/4/2021,Củ Chi,Tân Thạnh Tây,Đường tỉnh,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
8:30:00,3/4/2021,Bình Chánh,Tân Túc,Đường huyện - Nội thị,0,0,0,0,PT đường bộ khác,"Ôtô kéo, chở xe",PT đường bộ khác,"Ôtô kéo, chở xe",0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
2:00:00,3/4/2021,11,15,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô chở hàng (Ô tô tải),5,Nghiêm trọng,Đêm tối,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
1:30:00,3/4/2021,3,6,Đường tỉnh,0,0,0,0,Ô tô con,Ô tô con,,,0,Va chạm giao thông,Râm,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
23:50:00,2/4/2021,2,An Phú,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Tải thùng kín,20.24,Ít nghiêm trọng,"Đêm tối, mưa gió",Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Ướt trơn,Đường một chiều,Không,['Không chấp hành quy định nhường đường tại nơi giao nhau']
21:40:00,2/4/2021,Tân Bình,15,Đường tỉnh - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,2,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
14:29:00,2/4/2021,Hóc Môn,Bà Điểm,Quốc lộ,1,0,0,0,"Mô tô, xe máy",Mô tô 3 bánh,Ô tô tải,Ô tô tải,0,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Vượt xe không đúng quy định']
12:30:00,2/4/2021,9,Hiệp Phú,Đường tỉnh - Nội thị,0,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường hai chiều,Không,['Lỗi và nguyên nhân khác']
10:30:00,2/4/2021,Bình Tân,Bình Hưng Hòa B,Quốc lộ,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô tải,0,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,,Không,['Không chú ý quan sát']
0:15:00,2/4/2021,Hóc Môn,Tân Hiệp,Quốc lộ,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
18:30:00,1/4/2021,Thủ Đức,,Đường tỉnh,0,1,1,0,Xe thô sơ,Xe đạp điện,,,1,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
12:50:00,1/4/2021,Bình Thạnh,3,Khác,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,,,,,,Không,['Qua đường không đúng quy định']
9:40:00,1/4/2021,2,Thạnh Mỹ Lợi,Đường tỉnh - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Tải có mui,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
4:50:00,1/4/2021,8,1,Đường tỉnh,0,3,0,3,Ô tô con,Ô tô con,Ô tô con,Ô tô con,169,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
3:40:00,1/4/2021,Gò Vấp,5,Đường huyện,0,0,0,0,Ô tô tải,Tải thùng kín,,,4,Va chạm giao thông,Đêm tối,Trường hợp khác,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
2:20:00,1/4/2021,Củ Chi,Phước Vĩnh An,Đường tỉnh,0,0,0,0,Ô tô tải,Đầu kéo,,,0,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
